Name,Calorie
カップ麺(ラーメン),448
クロワッサン,448
インスタントラーメン,445
カップ焼きそば,436
デニッシュパン,396
焼きふ,385
コーンフレーク,381
オートミール,380
スパゲティ(乾麺),378
マカロニ(乾麺),378
ビーフン(乾麺),377
パン粉,373
白玉粉,369
小麦粉(薄力粉),368
小麦粉(中力粉),368
小麦粉(強力粉),366
コーンフラワー,363
コーンミール,363
上新粉,362
はと麦,360
アマランサス,358
そうめん(乾),356
コーングリッツ,355
とうもろこし(玄穀),350
てんぷら粉,349
大麦(押麦),340
ロールパン,316
チョココルネ,308
クリームパン,305
しゅうまいの皮,295
春巻の皮,295
餃子の皮,291
あんまん,281
あんぱん,280
フランスパン,279
ぶどうパン,269
ピザクラスト,268
コッペパン,265
食パン,264
ライ麦パン,264
ナン,262
ホットケーキ,261
肉まん,251
もち,235
イングリッシュマフィン,228
中華めん(蒸し),198
おこわ(赤飯),189
ごはん(精白米),168
ごはん(七分つき米),168
ごはん(はいが精米),167
ごはん(玄米),165
中華めん(ゆで),149
そば(ゆで),132
うどん(ゆで),105